"module name","licenses","repository","licenseUrl","parents"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp","https://github.com/sindresorhus/escape-string-regexp/raw/master/license","learn-starter"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp","https://github.com/sindresorhus/escape-string-regexp/raw/master/license","eslint:learn-starter"
"eslint-config-airbnb-base@14.2.1","MIT","https://github.com/airbnb/javascript","https://github.com/airbnb/javascript/raw/master/LICENSE.md","learn-starter"
"eslint-config-airbnb@18.2.1","MIT","https://github.com/airbnb/javascript","https://github.com/airbnb/javascript/raw/master/LICENSE.md","learn-starter"
"eslint-config-next@11.0.1","MIT","https://github.com/vercel/next.js","https://github.com/vercel/next.js/raw/master/license.md","learn-starter"
"eslint-import-resolver-node@0.3.4","MIT","https://github.com/benmosher/eslint-plugin-import","https://github.com/benmosher/eslint-plugin-import/raw/master/LICENSE","learn-starter"
"eslint-import-resolver-typescript@2.4.0","ISC","https://github.com/alexgorbatchev/eslint-import-resolver-typescript","https://github.com/alexgorbatchev/eslint-import-resolver-typescript","learn-starter"
"eslint-module-utils@2.6.1","MIT","https://github.com/benmosher/eslint-plugin-import","https://github.com/benmosher/eslint-plugin-import/raw/master/LICENSE","learn-starter"
"eslint-plugin-import@2.23.4","MIT","https://github.com/benmosher/eslint-plugin-import","https://github.com/benmosher/eslint-plugin-import/raw/master/LICENSE","learn-starter"
"eslint-plugin-jsx-a11y@6.4.1","MIT","https://github.com/evcohen/eslint-plugin-jsx-a11y","https://github.com/evcohen/eslint-plugin-jsx-a11y/raw/master/LICENSE.md","learn-starter"
"eslint-plugin-react-hooks@4.2.0","MIT","https://github.com/facebook/react","https://github.com/facebook/react/raw/master/LICENSE","learn-starter"
"eslint-plugin-react@7.24.0","MIT","https://github.com/yannickcr/eslint-plugin-react","https://github.com/yannickcr/eslint-plugin-react/raw/master/LICENSE","learn-starter"
"eslint-scope@5.1.1","BSD-2-Clause","https://github.com/eslint/eslint-scope","https://github.com/eslint/eslint-scope/raw/master/LICENSE","learn-starter"
"eslint-utils@2.1.0","MIT","https://github.com/mysticatea/eslint-utils","https://github.com/mysticatea/eslint-utils/raw/master/LICENSE","eslint:learn-starter"
"eslint-utils@3.0.0","MIT","https://github.com/mysticatea/eslint-utils","https://github.com/mysticatea/eslint-utils/raw/master/LICENSE","learn-starter"
"eslint-visitor-keys@1.3.0","Apache-2.0","https://github.com/eslint/eslint-visitor-keys","https://github.com/eslint/eslint-visitor-keys/raw/master/LICENSE","espree:learn-starter"
"eslint-visitor-keys@2.1.0","Apache-2.0","https://github.com/eslint/eslint-visitor-keys","https://github.com/eslint/eslint-visitor-keys/raw/master/LICENSE","learn-starter"
"eslint@7.30.0","MIT","https://github.com/eslint/eslint","https://github.com/eslint/eslint/raw/master/LICENSE","learn-starter"
"espree@7.3.1","BSD-2-Clause","https://github.com/eslint/espree","https://github.com/eslint/espree/raw/master/LICENSE","learn-starter"
"esprima@4.0.1","BSD-2-Clause","https://github.com/jquery/esprima","https://github.com/jquery/esprima/raw/master/LICENSE.BSD","learn-starter"
"esquery@1.4.0","BSD-3-Clause","https://github.com/estools/esquery","https://github.com/estools/esquery/raw/master/license.txt","learn-starter"
"esrecurse@4.3.0","BSD-2-Clause","https://github.com/estools/esrecurse","https://github.com/estools/esrecurse","learn-starter"
"estraverse@4.3.0","BSD-2-Clause","https://github.com/estools/estraverse","https://github.com/estools/estraverse/raw/master/LICENSE.BSD","learn-starter"
